,id,name,NN ը/կ,"Հայտարարատու սեփականատիրոջ անունը, ազգանունը, հայրանունը",Տվյալ տարվա սկզբում առկա տրանսպորտի տեսակը,"Մակնիշը, սերիան",Թողարկման տարին,Նույնականացման համարը,"Տրանսպորտի միջոցը ձեռք բերելու օրը, ամիսը, տարին",Տրանսպորտի միջոցը ձեռք բերելու եղանակը,Առկա է տվյալ տարվա վերջում
34,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105403,ՎՈԼՈԴՅԱ ՍԻՄՈՆՅԱՆ ՄՈՒՇԵՂԻ,1.,ՎՈԼՈԴՅԱ ՍԻՄՈՆՅԱՆ ՄՈՒՇԵՂԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,VAZ Պաշտպանված,2008,Պաշտպանված,05/10/2018,Գնում,Պաշտպանված
35,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105412,ԱՐՄԱՆ ՄԱՆՈՒՉԱՐՅԱՆ ԱՊԵՏՆԱԿԻ,1.,ԱՐՄԱՆ ՄԱՆՈՒՉԱՐՅԱՆ ԱՊԵՏՆԱԿԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,MERCEDES-BENZ Պաշտպանված,2002,Պաշտպանված,26/02/2019,Գնում,Պաշտպանված
36,https://registry.cpcarmenia.am/declaration/?id=1_1_2_105434,ՄԱՐԻՆԱ ՕՀԱՆՋԱՆՅԱՆ ԱՇՈՏԻ,Տվյալներ չկան,,,,,,,,
37,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105436,ԼԻԱՆԱ ՍԱՆԹՐՈՍՅԱՆ ՏԻԳՐԱՆԻ,1.,ԼԻԱՆԱ ՍԱՆԹՐՈՍՅԱՆ ՏԻԳՐԱՆԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,TOYOTA Պաշտպանված,2012,Պաշտպանված,05/09/2020,Գնում,Պաշտպանված
38,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105423,ԷԴԳԱՐ ՊՈՂՈՍՅԱՆ ՀԱՅԿԻ,1.,ԷԴԳԱՐ ՊՈՂՈՍՅԱՆ ՀԱՅԿԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,TOYOTA Պաշտպանված,2011,Պաշտպանված,31/07/2017,Գնում,Պաշտպանված
39,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105400,ՍԵՐԳԵՅ ԱՌԱՔԵԼՅԱՆ ԳԱԳԻԿԻ,Տվյալներ չկան,,,,,,,,
40,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105426,ԱՐՇԱԼՈՒՅՍ ՄԻՆԱՍՅԱՆ ԿԱՌԼԵՆԻ,1.,ԱՐՇԱԼՈՒՅՍ ՄԻՆԱՍՅԱՆ ԿԱՌԼԵՆԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,INFINITI Պաշտպանված,2012,Պաշտպանված,21/06/2019,Գնում,Պաշտպանված
41,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105426,ԱՐՇԱԼՈՒՅՍ ՄԻՆԱՍՅԱՆ ԿԱՌԼԵՆԻ,2.,ԱՐՇԱԼՈՒՅՍ ՄԻՆԱՍՅԱՆ ԿԱՌԼԵՆԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,TOYOTA Պաշտպանված,2008,Պաշտպանված,15/02/2009,Գնում,Պաշտպանված
42,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105406,ՍԱՐԳԻՍ ՆԱԶԱՐՅԱՆ ՄԿՐՏԻՉԻ,1.,ՍԱՐԳԻՍ ՆԱԶԱՐՅԱՆ ՄԿՐՏԻՉԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,VAZ Պաշտպանված,2015,Պաշտպանված,01/11/2015,Գնում,Պաշտպանված
43,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105417,ՍԱՇԻԿ ԱՎԵՏԻՍՅԱՆ ԱՐԱՄԻ,1.,ՍԱՇԻԿ ԱՎԵՏԻՍՅԱՆ ԱՐԱՄԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,MERCEDES-BENZ Պաշտպանված,2004,Պաշտպանված,22/08/2017,Գնում,Պաշտպանված
44,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105409,ՀՈՎՀԱՆՆԵՍ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՄՈՒՇԵՂԻ,1.,ՀՈՎՀԱՆՆԵՍ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՄՈՒՇԵՂԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,CHRYSLER Պաշտպանված,2014,Պաշտպանված,20/06/2020,Գնում,Պաշտպանված
45,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105409,ՀՈՎՀԱՆՆԵՍ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՄՈՒՇԵՂԻ,2.,ՀՈՎՀԱՆՆԵՍ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՄՈՒՇԵՂԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,TOYOTA Պաշտպանված,2008,Պաշտպանված,27/02/2021,Գնում,Պաշտպանված
46,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105399,ԴԱՎԻԹ ԿՈՍՏԱՆԴՅԱՆ ՌՈԲԵՐՏԻ,Տվյալներ չկան,,,,,,,,
47,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105402,ԽՈՐԵՆ ՄԵՋԼՈՒՄՅԱՆ ԳԵՎՈՐԳԻ,1.,ԽՈՐԵՆ ՄԵՋԼՈՒՄՅԱՆ ԳԵՎՈՐԳԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,OPEL Պաշտպանված,2001,Պաշտպանված,09/11/2021,Գնում,Պաշտպանված
48,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105432,ԱՇՈՏ ՕՀԱՆՅԱՆ ԱՐՄԵՆԻ,Տվյալներ չկան,,,,,,,,
49,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105430,ԲԱԳՐԱՏ ԱԴԱՄՅԱՆ ՀՐԱՆՏԻ,1.,ԲԱԳՐԱՏ ԱԴԱՄՅԱՆ ՀՐԱՆՏԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,HYUNDAI Պաշտպանված,2012,Պաշտպանված,13/11/2019,Գնում,Պաշտպանված
50,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105424,ՎԱՀԵ ՄԱՐՏԻՐՈՍՅԱՆ ՌԱՖԻԿԻ,Տվյալներ չկան,,,,,,,,
51,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105422,ԲՈՐՅԱ ՉԻԼԻՆԳԱՐՅԱՆ ԱԼԵՔՍԱՆԴՐԻ,1.,ԲՈՐՅԱ ՉԻԼԻՆԳԱՐՅԱՆ ԱԼԵՔՍԱՆԴՐԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,VOLKSWAGEN Պաշտպանված,1995,Պաշտպանված,25/03/2008,Գնում,Պաշտպանված
52,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105422,ԲՈՐՅԱ ՉԻԼԻՆԳԱՐՅԱՆ ԱԼԵՔՍԱՆԴՐԻ,2.,ԲՈՐՅԱ ՉԻԼԻՆԳԱՐՅԱՆ ԱԼԵՔՍԱՆԴՐԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,INFINITI Պաշտպանված,2008,Պաշտպանված,27/07/2019,Գնում,Պաշտպանված
53,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105408,ՎԱՀԵ ԽԱՉԱՏՐՅԱՆ ԷՄԱՆՈՒԵԼԻ,1.,ՎԱՀԵ ԽԱՉԱՏՐՅԱՆ ԷՄԱՆՈՒԵԼԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,TOYOTA Պաշտպանված,2016,Պաշտպանված,18/07/2018,Գնում,Պաշտպանված
54,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105419,ԱՐՍԵՆ ԳԵՂԱՄՅԱՆ ԳՐԻԳՈՐԻ,1.,ԱՐՍԵՆ ԳԵՂԱՄՅԱՆ ԳՐԻԳՈՐԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,MAZDA Պաշտպանված,2011,Պաշտպանված,09/08/2019,Գնում,Պաշտպանված
55,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105404,ԳԵՂԱՄ ՄԱՐԳԱՐՅԱՆ ՄԱՐՏԻՆԻ,1.,ԳԵՂԱՄ ՄԱՐԳԱՐՅԱՆ ՄԱՐՏԻՆԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,MERCEDES-BENZ Պաշտպանված,1997,Պաշտպանված,17/04/2017,Գնում,Պաշտպանված
56,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105413,ՀԱՅԿ ՄԱՆԱՆԴՅԱՆ ՍԵՐԳՈՅԻ,1.,ՀԱՅԿ ՄԱՆԱՆԴՅԱՆ ՍԵՐԳՈՅԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,MERCEDES-BENZ Պաշտպանված,2002,Պաշտպանված,14/04/2016,Գնում,Պաշտպանված
57,https://registry.cpcarmenia.am/declaration/?id=1_1_1_101748,ԳԱՐԵԳԻՆ ԲԵԳՈՅԱՆ ՎԼԱԴԻՄԻՐԻ,1.,ԳԱՐԵԳԻՆ ԲԵԳՈՅԱՆ ՎԼԱԴԻՄԻՐԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,TOYOTA Պաշտպանված,2018,Պաշտպանված,13/08/2021,Գնում,Պաշտպանված
58,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105421,ԱՐԹՈՒՐ ՍԱՐԳՍՅԱՆ ՄՈՒՐԱԴԻ,Տվյալներ չկան,,,,,,,,
59,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105407,ՍՄԲԱՏ ՄԽԻԹԱՐՅԱՆ ԱՏՈՄԻ,Տվյալներ չկան,,,,,,,,
60,https://registry.cpcarmenia.am/declaration/?id=1_1_2_105420,ՍՏԵՓԱՆ ՆԱԶԱՐՅԱՆ ԼԵՎՈՆԻ,Տվյալներ չկան,,,,,,,,
61,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105429,ԼԵՌՆԻԿ ՍՏԵՓԱՆՅԱՆ ՀԱՅԿԻ,1.,ԼԵՌՆԻԿ ՍՏԵՓԱՆՅԱՆ ՀԱՅԿԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,MERCEDES-BENZ Պաշտպանված,2000,Պաշտպանված,25/12/2015,Նվիրատվություն,Պաշտպանված
62,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105429,ԼԵՌՆԻԿ ՍՏԵՓԱՆՅԱՆ ՀԱՅԿԻ,2.,ԼԵՌՆԻԿ ՍՏԵՓԱՆՅԱՆ ՀԱՅԿԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,TOYOTA Պաշտպանված,2014,Պաշտպանված,19/04/2021,Գնում,Պաշտպանված
63,https://registry.cpcarmenia.am/declaration/?id=1_1_2_105415,ԳԵՐԱՍԻՄ ՄԿՐՏՉՅԱՆ ՅՈՒՐԻԿԻ,1.,ԳԵՐԱՍԻՄ ՄԿՐՏՉՅԱՆ ՅՈՒՐԻԿԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,KIA Պաշտպանված,2017,Պաշտպանված,25/11/2020,Գնում,Պաշտպանված
64,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105405,ԱՐՄԵՆ ԱԴԱՄՅԱՆ ՓԱՇՈՅԻ,1.,ԱՐՄԵՆ ԱԴԱՄՅԱՆ ՓԱՇՈՅԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,NISSAN Պաշտպանված,2006,Պաշտպանված,16/07/2019,Գնում,Պաշտպանված
65,https://registry.cpcarmenia.am/declaration/?id=1_1_1_102005,ՆԻԿՈԼԱՅ ԲԱՐՍԵՂՅԱՆ ԳԱԳԻԿԻ,1.,ՆԻԿՈԼԱՅ ԲԱՐՍԵՂՅԱՆ ԳԱԳԻԿԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,VAZ Պաշտպանված,2004,Պաշտպանված,18/03/2004,Գնում,Պաշտպանված
66,https://registry.cpcarmenia.am/declaration/?id=1_1_1_102005,ՆԻԿՈԼԱՅ ԲԱՐՍԵՂՅԱՆ ԳԱԳԻԿԻ,2.,ՆԻԿՈԼԱՅ ԲԱՐՍԵՂՅԱՆ ԳԱԳԻԿԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,TOYOTA Պաշտպանված,2017,Պաշտպանված,03/10/2019,Գնում,Պաշտպանված
67,https://registry.cpcarmenia.am/declaration/?id=1_1_1_102005,ՆԻԿՈԼԱՅ ԲԱՐՍԵՂՅԱՆ ԳԱԳԻԿԻ,3.,ՆԻԿՈԼԱՅ ԲԱՐՍԵՂՅԱՆ ԳԱԳԻԿԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,VOLKSWAGEN Պաշտպանված,2008,Պաշտպանված,23/05/2011,Գնում,Պաշտպանված
68,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105411,ԱՐՏԱՇԵՍ ՄԱԻԼՅԱՆ ՍԱՄՎԵԼԻ,Տվյալներ չկան,,,,,,,,
69,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105416,ԷԴԻԿ ՀԱԿՈԲՅԱՆ ԱՐՄԵՆԱԿԻ,1.,ԷԴԻԿ ՀԱԿՈԲՅԱՆ ԱՐՄԵՆԱԿԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,LEXUS Պաշտպանված,2006,Պաշտպանված,07/12/2020,Գնում,Պաշտպանված
70,https://registry.cpcarmenia.am/declaration/?id=1_1_2_105428,ԳԱԳԻԿ ՄԱՐԿՈՍՅԱՆ ԳԱՐՈՒՆԻ,1.,ԳԱԳԻԿ ՄԱՐԿՈՍՅԱՆ ԳԱՐՈՒՆԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,MERCEDES-BENZ Պաշտպանված,1994,Պաշտպանված,08/12/2021,Ժառանգություն,Պաշտպանված
71,https://registry.cpcarmenia.am/declaration/?id=1_1_2_105428,ԳԱԳԻԿ ՄԱՐԿՈՍՅԱՆ ԳԱՐՈՒՆԻ,2.,ԳԱԳԻԿ ՄԱՐԿՈՍՅԱՆ ԳԱՐՈՒՆԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,TOYOTA Պաշտպանված,2003,Պաշտպանված,27/11/2007,Գնում,Պաշտպանված
72,https://registry.cpcarmenia.am/declaration/?id=1_1_2_105425,ԱՐԱՄ ՍԱՐԳՍՅԱՆ ՅՈՒՐԱՅԻ,1.,ԱՐԱՄ ՍԱՐԳՍՅԱՆ ՅՈՒՐԱՅԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,MERCEDES-BENZ Պաշտպանված,2012,Պաշտպանված,17/01/2017,Գնում,Պաշտպանված
73,https://registry.cpcarmenia.am/declaration/?id=1_1_2_105418,ՀՈՎՀԱՆՆԵՍ ԵՆՈՔՅԱՆ ԿԵՆՍԱԲԵՐԻ,Տվյալներ չկան,,,,,,,,
74,https://registry.cpcarmenia.am/declaration/?id=1_1_2_105435,ԶԱՐՈՒՀԻ ՍԱՐԳՍՅԱՆ ԳԵՈՐԳԻԻ,1.,ԶԱՐՈՒՀԻ ՍԱՐԳՍՅԱՆ ԳԵՈՐԳԻԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,TOYOTA Պաշտպանված,2015,Պաշտպանված,29/07/2021,Գնում,Պաշտպանված
75,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105431,ՀՈՎԻԿ ՆԻԿՈՂՈՍՅԱՆ ԱՇՈՏԻ,1.,ՀՈՎԻԿ ՆԻԿՈՂՈՍՅԱՆ ԱՇՈՏԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,OPEL Պաշտպանված,1999,Պաշտպանված,25/06/2014,Գնում,Պաշտպանված
76,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105431,ՀՈՎԻԿ ՆԻԿՈՂՈՍՅԱՆ ԱՇՈՏԻ,2.,ՀՈՎԻԿ ՆԻԿՈՂՈՍՅԱՆ ԱՇՈՏԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,OPEL Պաշտպանված,2003,Պաշտպանված,30/09/2020,Գնում,Պաշտպանված
