,id,name,NN ը/կ,"Հայտարարատու պաշտոնատար անձի և(կամ) նրա ընտանիքի անդամի անունը, ազգանունը, հայրանունը",Կազմակերպության անվանումը,Հարկ վճարողի հաշվառման համարը,Հասցեն,Հայտարարատու պաշտոնատար անձի և (կամ) նրա ընտանիքի  անդամների կարգավիճակը  կազմակերպությունում
10,https://registry.cpcarmenia.am/declaration/?id=1_1_1_101925,ԽԱՉԻԿ ՂԱԶԱՐՅԱՆ ԿԱՐԱՊԵՏԻ,Տվյալներ չկան,,,,,
11,https://registry.cpcarmenia.am/declaration/?id=1_1_1_102188,ՎԱՀԵ ԴՈԼՄԱԶՅԱՆ ԱՐՍԵՆԻ,Տվյալներ չկան,,,,,
12,https://registry.cpcarmenia.am/declaration/?id=1_1_1_102747,ԼԻԼԻ ԴՐՄԵՅԱՆ ՄԱՄԻԿՈՆԻ,Տվյալներ չկան,,,,,
13,https://registry.cpcarmenia.am/declaration/?id=1_1_1_102308,ԿԱՐԱՊԵՏ ԲԱԴԱԼՅԱՆ ՍԵՐՅՈԺԱՅԻ,Տվյալներ չկան,,,,,
14,https://registry.cpcarmenia.am/declaration/?id=1_1_1_101984,ԱՐԱՄ ԳՐԻԳՈՐՅԱՆ ԳՐԻՇԱՅԻ,Տվյալներ չկան,,,,,
15,https://registry.cpcarmenia.am/declaration/?id=1_1_1_102035,ՍԱՐԳԻՍ ԴԱԴՈՅԱՆ ՍԻՄՈՆԻ,Տվյալներ չկան,,,,,
16,https://registry.cpcarmenia.am/declaration/?id=1_1_1_102570,ՆԱՐԻՆԵ ԱՎԱԳՅԱՆ ԱՇՈՏԻ,Տվյալներ չկան,,,,,
17,https://registry.cpcarmenia.am/declaration/?id=1_1_1_102237,ՎԱՐԴԳԵՍ ՍԱՐԳՍՅԱՆ ԱՐԱՅԻԿԻ,Տվյալներ չկան,,,,,
18,https://registry.cpcarmenia.am/declaration/?id=1_1_1_102953,ՄԵՐԻ ՄՈՍԻՆՅԱՆ ԱՂԱԲԵԿԻ,Տվյալներ չկան,,,,,
19,https://registry.cpcarmenia.am/declaration/?id=1_1_1_102128,ՍՈՒՐԵՆ ԽԱՉԱՏՐՅԱՆ ԵՐՎԱՆԴԻ,Տվյալներ չկան,,,,,
20,https://registry.cpcarmenia.am/declaration/?id=1_1_1_101964,ԳԻՎԻ ՀՈՎՀԱՆՆԻՍՅԱՆ ՀԱՄԼԵՏԻ,Տվյալներ չկան,,,,,
21,https://registry.cpcarmenia.am/declaration/?id=1_1_1_102691,ԱՇԽԵՆ ՂԱՐՍԼՅԱՆ ՌՈՒԲԵՆԻ,Տվյալներ չկան,,,,,
22,https://registry.cpcarmenia.am/declaration/?id=1_1_1_101924,ՏԻԳՐԱՆ ԴԱՎԹՅԱՆ ՍԱՄՎԵԼԻ,Տվյալներ չկան,,,,,
23,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105401,ԱՐՏԱԿ ԹԱԴԵՎՈՍՅԱՆ ՎԱՀՐԱՄԻ,Տվյալներ չկան,,,,,
24,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105403,ՎՈԼՈԴՅԱ ՍԻՄՈՆՅԱՆ ՄՈՒՇԵՂԻ,Տվյալներ չկան,,,,,
25,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105412,ԱՐՄԱՆ ՄԱՆՈՒՉԱՐՅԱՆ ԱՊԵՏՆԱԿԻ,Տվյալներ չկան,,,,,
26,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105436,ԼԻԱՆԱ ՍԱՆԹՐՈՍՅԱՆ ՏԻԳՐԱՆԻ,Տվյալներ չկան,,,,,
27,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105423,ԷԴԳԱՐ ՊՈՂՈՍՅԱՆ ՀԱՅԿԻ,Տվյալներ չկան,,,,,
28,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105400,ՍԵՐԳԵՅ ԱՌԱՔԵԼՅԱՆ ԳԱԳԻԿԻ,Տվյալներ չկան,,,,,
29,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105426,ԱՐՇԱԼՈՒՅՍ ՄԻՆԱՍՅԱՆ ԿԱՌԼԵՆԻ,Տվյալներ չկան,,,,,
30,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105406,ՍԱՐԳԻՍ ՆԱԶԱՐՅԱՆ ՄԿՐՏԻՉԻ,Տվյալներ չկան,,,,,
31,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105417,ՍԱՇԻԿ ԱՎԵՏԻՍՅԱՆ ԱՐԱՄԻ,Տվյալներ չկան,,,,,
32,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105409,ՀՈՎՀԱՆՆԵՍ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՄՈՒՇԵՂԻ,Տվյալներ չկան,,,,,
33,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105399,ԴԱՎԻԹ ԿՈՍՏԱՆԴՅԱՆ ՌՈԲԵՐՏԻ,Տվյալներ չկան,,,,,
34,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105402,ԽՈՐԵՆ ՄԵՋԼՈՒՄՅԱՆ ԳԵՎՈՐԳԻ,Տվյալներ չկան,,,,,
35,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105432,ԱՇՈՏ ՕՀԱՆՅԱՆ ԱՐՄԵՆԻ,Տվյալներ չկան,,,,,
36,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105430,ԲԱԳՐԱՏ ԱԴԱՄՅԱՆ ՀՐԱՆՏԻ,Տվյալներ չկան,,,,,
37,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105424,ՎԱՀԵ ՄԱՐՏԻՐՈՍՅԱՆ ՌԱՖԻԿԻ,Տվյալներ չկան,,,,,
38,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105422,ԲՈՐՅԱ ՉԻԼԻՆԳԱՐՅԱՆ ԱԼԵՔՍԱՆԴՐԻ,Տվյալներ չկան,,,,,
39,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105408,ՎԱՀԵ ԽԱՉԱՏՐՅԱՆ ԷՄԱՆՈՒԵԼԻ,Տվյալներ չկան,,,,,
40,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105419,ԱՐՍԵՆ ԳԵՂԱՄՅԱՆ ԳՐԻԳՈՐԻ,Տվյալներ չկան,,,,,
41,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105404,ԳԵՂԱՄ ՄԱՐԳԱՐՅԱՆ ՄԱՐՏԻՆԻ,Տվյալներ չկան,,,,,
42,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105413,ՀԱՅԿ ՄԱՆԱՆԴՅԱՆ ՍԵՐԳՈՅԻ,Տվյալներ չկան,,,,,
43,https://registry.cpcarmenia.am/declaration/?id=1_1_1_101748,ԳԱՐԵԳԻՆ ԲԵԳՈՅԱՆ ՎԼԱԴԻՄԻՐԻ,Տվյալներ չկան,,,,,
44,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105421,ԱՐԹՈՒՐ ՍԱՐԳՍՅԱՆ ՄՈՒՐԱԴԻ,Տվյալներ չկան,,,,,
45,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105407,ՍՄԲԱՏ ՄԽԻԹԱՐՅԱՆ ԱՏՈՄԻ,Տվյալներ չկան,,,,,
46,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105429,ԼԵՌՆԻԿ ՍՏԵՓԱՆՅԱՆ ՀԱՅԿԻ,Տվյալներ չկան,,,,,
47,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105405,ԱՐՄԵՆ ԱԴԱՄՅԱՆ ՓԱՇՈՅԻ,Տվյալներ չկան,,,,,
48,https://registry.cpcarmenia.am/declaration/?id=1_1_1_102005,ՆԻԿՈԼԱՅ ԲԱՐՍԵՂՅԱՆ ԳԱԳԻԿԻ,Տվյալներ չկան,,,,,
49,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105411,ԱՐՏԱՇԵՍ ՄԱԻԼՅԱՆ ՍԱՄՎԵԼԻ,Տվյալներ չկան,,,,,
50,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105416,ԷԴԻԿ ՀԱԿՈԲՅԱՆ ԱՐՄԵՆԱԿԻ,Տվյալներ չկան,,,,,
51,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105431,ՀՈՎԻԿ ՆԻԿՈՂՈՍՅԱՆ ԱՇՈՏԻ,Տվյալներ չկան,,,,,
52,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105410,ԱՐԱՄ ՊՈՂՈՍՅԱՆ ՎԼԱԴԻՄԻՐԻ,1.,ՏԻՐՈՒՆ ՊՈՂՈՍՅԱՆ ՄՆԱՑԱԿԱՆԻ,<<Կառույց>> ԱԿ,Պաշտպանված,Պաշտպանված,Տնօրեն
53,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105427,ՄՈՒՇԵՂ ԲԱԲԱՅԱՆ ԱՎԵՏԻՔԻ,Տվյալներ չկան,,,,,
54,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105414,ՍԱՍՈՒՆ ԽԱՉԱՏՐՅԱՆ ՄՀԵՐԻ,Տվյալներ չկան,,,,,
55,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105268,ԼԻԼԻԹ ԱԼԵՔՍԱՆՅԱՆ ԿԱՐԵՆԻ,Տվյալներ չկան,,,,,
56,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105266,ՀԱՅԿՈՒՀԻ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՅԿԻ,Տվյալներ չկան,,,,,
57,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105259,ՆԱՐԵԿ ՀԱՄԲԱՐՁՈՒՄՅԱՆ ԳԱԳԻԿԻ,1.,ՆԵԼԼԻ ԱՍԱՏՐՅԱՆ ՎԼԱԴԻՄԻՐԻ,Գլանժ ալկո ՍՊԸ,Պաշտպանված,Պաշտպանված,Կոմերցիոն տնօրեն
58,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105259,ՆԱՐԵԿ ՀԱՄԲԱՐՁՈՒՄՅԱՆ ԳԱԳԻԿԻ,2.,ՆԵԼԼԻ ԱՍԱՏՐՅԱՆ ՎԼԱԴԻՄԻՐԻ,ՀՈՄՖՈւԴ ՍՊԸ,Պաշտպանված,Պաշտպանված,Տնօրեն
59,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105265,ՄԱՐԻԱՄ ԳԱԼՍՏՅԱՆ ԿԱՐԵՆԻ,Տվյալներ չկան,,,,,
