,id,name,NN ը/կ,"Հայտարարատու սեփականատիրոջ անունը, ազգանունը, հայրանունը",Անշարժ գույքի տեսակը,Սեփականության իրավունքի տեսակը,Հայտարարատուի բաժինը,Համասեփականատիրոջ բաժինը,"Համասեփականատիրոջ անվանումը կամ անունը, ազգանունը, հայրանունը",Հայտարարատուի և համասեփականատիրոջ միջև կապի բնույթը,Գտնվելու վայրի հասցեն,Անշարժ գույքի հաշվառման համարը,"Անշարժ գույքը ձեռք բերելու օրը, ամիսը,տարին",Անշարժ գույքի ձեռքբերման եղանակը,Ձեռք բերված անշարժ գույքի գինը և արժույթը,Անշարժ գույքի մակերեսը (քմ),"Գործարքի մյուս կողմի անվանումը կամ անունը, ազգանունը, հայրանունը, հասցեն"
10,https://registry.cpcarmenia.am/declaration/?id=1_1_1_101925,ԽԱՉԻԿ ՂԱԶԱՐՅԱՆ ԿԱՐԱՊԵՏԻ,Տվյալներ չկան,,,,,,,,,,,,,,
11,https://registry.cpcarmenia.am/declaration/?id=1_1_1_102188,ՎԱՀԵ ԴՈԼՄԱԶՅԱՆ ԱՐՍԵՆԻ,1.,ՎԱՀԵ ԴՈԼՄԱԶՅԱՆ ԱՐՍԵՆԻ,"Ավտոտնակը (տրանսպորտային միջոցների կայանման համար հողամասի վրա կառուցված առանձին շինությունը), ավտոհանգրվանը,ավտոկայանատեղին",Միանձնյա,,Պաշտպանված,Պաշտպանված,Պաշտպանված,Հայաստանի Հանրապետություն ԼՈՌԻ Վանաձոր Պաշտպանված,Պաշտպանված,18/08/2022,Այլ,"֏ 1,990,000",Պաշտպանված,- Պաշտպանված
12,https://registry.cpcarmenia.am/declaration/?id=1_1_2_101859,ԳԵՂԵՑԻԿ ԲԱԼՅԱՆ ԱՐԱՅԻԿԻ,Տվյալներ չկան,,,,,,,,,,,,,,
13,https://registry.cpcarmenia.am/declaration/?id=1_1_2_102544,ԱԼՎԻՆԱ ՄԱՐՏԻՐՈՍՅԱՆ ՍՄԲԱՏԻ,Տվյալներ չկան,,,,,,,,,,,,,,
14,https://registry.cpcarmenia.am/declaration/?id=1_1_2_102837,ԼԻԼԻԹ ԲԱԴԱԼՅԱՆ ՅՈՒՐԻԻ,Տվյալներ չկան,,,,,,,,,,,,,,
15,https://registry.cpcarmenia.am/declaration/?id=1_1_1_102747,ԼԻԼԻ ԴՐՄԵՅԱՆ ՄԱՄԻԿՈՆԻ,Տվյալներ չկան,,,,,,,,,,,,,,
16,https://registry.cpcarmenia.am/declaration/?id=1_1_2_101848,ԶԱՐՈՒՀԻ ՍՈՒՎԱՐՅԱՆ ԿՈՆՍՏԱՆՏԻՆԻ,Տվյալներ չկան,,,,,,,,,,,,,,
17,https://registry.cpcarmenia.am/declaration/?id=1_1_1_102308,ԿԱՐԱՊԵՏ ԲԱԴԱԼՅԱՆ ՍԵՐՅՈԺԱՅԻ,Տվյալներ չկան,,,,,,,,,,,,,,
18,https://registry.cpcarmenia.am/declaration/?id=1_1_2_102666,ՄԻԼԵՆԱ ՄԵՍՐՈՊՅԱՆ ՍԻՐԵԿԱՆԻ,Տվյալներ չկան,,,,,,,,,,,,,,
19,https://registry.cpcarmenia.am/declaration/?id=1_1_2_102653,ՀԱՅԿՈՒՇ ՀԱՐՈՅԱՆ ԱՐԱՄԻ,Տվյալներ չկան,,,,,,,,,,,,,,
20,https://registry.cpcarmenia.am/declaration/?id=1_1_1_101984,ԱՐԱՄ ԳՐԻԳՈՐՅԱՆ ԳՐԻՇԱՅԻ,Տվյալներ չկան,,,,,,,,,,,,,,
21,https://registry.cpcarmenia.am/declaration/?id=1_1_1_102035,ՍԱՐԳԻՍ ԴԱԴՈՅԱՆ ՍԻՄՈՆԻ,Տվյալներ չկան,,,,,,,,,,,,,,
22,https://registry.cpcarmenia.am/declaration/?id=1_1_2_102448,ՀԱՅԿՈՒՀԻ ՆԻԿՈԼԱՅԱՆ ՆՎԵՐԻ,Տվյալներ չկան,,,,,,,,,,,,,,
23,https://registry.cpcarmenia.am/declaration/?id=1_1_1_102570,ՆԱՐԻՆԵ ԱՎԱԳՅԱՆ ԱՇՈՏԻ,Տվյալներ չկան,,,,,,,,,,,,,,
24,https://registry.cpcarmenia.am/declaration/?id=1_1_1_102237,ՎԱՐԴԳԵՍ ՍԱՐԳՍՅԱՆ ԱՐԱՅԻԿԻ,Տվյալներ չկան,,,,,,,,,,,,,,
25,https://registry.cpcarmenia.am/declaration/?id=1_1_1_102953,ՄԵՐԻ ՄՈՍԻՆՅԱՆ ԱՂԱԲԵԿԻ,Տվյալներ չկան,,,,,,,,,,,,,,
26,https://registry.cpcarmenia.am/declaration/?id=1_1_1_102128,ՍՈՒՐԵՆ ԽԱՉԱՏՐՅԱՆ ԵՐՎԱՆԴԻ,Տվյալներ չկան,,,,,,,,,,,,,,
27,https://registry.cpcarmenia.am/declaration/?id=1_1_1_101964,ԳԻՎԻ ՀՈՎՀԱՆՆԻՍՅԱՆ ՀԱՄԼԵՏԻ,Տվյալներ չկան,,,,,,,,,,,,,,
28,https://registry.cpcarmenia.am/declaration/?id=1_1_1_102691,ԱՇԽԵՆ ՂԱՐՍԼՅԱՆ ՌՈՒԲԵՆԻ,Տվյալներ չկան,,,,,,,,,,,,,,
29,https://registry.cpcarmenia.am/declaration/?id=1_1_1_101924,ՏԻԳՐԱՆ ԴԱՎԹՅԱՆ ՍԱՄՎԵԼԻ,Տվյալներ չկան,,,,,,,,,,,,,,
30,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105401,ԱՐՏԱԿ ԹԱԴԵՎՈՍՅԱՆ ՎԱՀՐԱՄԻ,1.,ԱՐՏԱԿ ԹԱԴԵՎՈՍՅԱՆ ՎԱՀՐԱՄԻ,Ավտոկայանատեղի,Միանձնյա,,Պաշտպանված,Պաշտպանված,Պաշտպանված,Հայաստանի Հանրապետություն ԵՐԵՎԱՆ Երևան Պաշտպանված,Պաշտպանված,02/09/2022,Այլ,"֏ 3,600,000",Պաշտպանված,ԵՊՀ շրջանավարտների միավորում ՀԿ Պաշտպանված
31,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105401,ԱՐՏԱԿ ԹԱԴԵՎՈՍՅԱՆ ՎԱՀՐԱՄԻ,2.,ԱՐՏԱԿ ԹԱԴԵՎՈՍՅԱՆ ՎԱՀՐԱՄԻ,Ավտոկայանատեղի,Միանձնյա,,Պաշտպանված,Պաշտպանված,Պաշտպանված,Հայաստանի Հանրապետություն ԵՐԵՎԱՆ Երևան Պաշտպանված,Պաշտպանված,02/09/2022,Այլ,"֏ 3,600,000",Պաշտպանված,ԵՊՀ շրջանավարտների միավորում ՀԿ Պաշտպանված
32,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105401,ԱՐՏԱԿ ԹԱԴԵՎՈՍՅԱՆ ՎԱՀՐԱՄԻ,3.,ԱՐՏԱԿ ԹԱԴԵՎՈՍՅԱՆ ՎԱՀՐԱՄԻ,Հողամաս,Միանձնյա,,Պաշտպանված,Պաշտպանված,Պաշտպանված,Հայաստանի Հանրապետություն ԱՐՄԱՎԻՐ Բաղրամյան Պաշտպանված,Պաշտպանված,20/10/2022,Այլ,֏ 0,Պաշտպանված,Սերոբ Մնացականյան Սամվելի Պաշտպանված
33,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105403,ՎՈԼՈԴՅԱ ՍԻՄՈՆՅԱՆ ՄՈՒՇԵՂԻ,Տվյալներ չկան,,,,,,,,,,,,,,
34,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105412,ԱՐՄԱՆ ՄԱՆՈՒՉԱՐՅԱՆ ԱՊԵՏՆԱԿԻ,1.,ԱՐՄԱՆ ՄԱՆՈՒՉԱՐՅԱՆ ԱՊԵՏՆԱԿԻ,"Հասարակական նշանակության շինությունը (բնակչության սոցիալական սպասարկման, ինչպես նաև վարչական ու հասարակական կազմակերպությունների տեղակայման համար նախատեսված շինությունը)",Համատեղ,,Պաշտպանված,Պաշտպանված,Պաշտպանված,Հայաստանի Հանրապետություն ԵՐԵՎԱՆ - Պաշտպանված,Պաշտպանված,29/07/2022,Գնում,"֏ 20,000,000",Պաշտպանված,Կարինե Ռաֆիկի Սարգսյան Պաշտպանված
35,https://registry.cpcarmenia.am/declaration/?id=1_1_2_105434,ՄԱՐԻՆԱ ՕՀԱՆՋԱՆՅԱՆ ԱՇՈՏԻ,Տվյալներ չկան,,,,,,,,,,,,,,
36,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105436,ԼԻԱՆԱ ՍԱՆԹՐՈՍՅԱՆ ՏԻԳՐԱՆԻ,Տվյալներ չկան,,,,,,,,,,,,,,
37,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105423,ԷԴԳԱՐ ՊՈՂՈՍՅԱՆ ՀԱՅԿԻ,Տվյալներ չկան,,,,,,,,,,,,,,
38,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105400,ՍԵՐԳԵՅ ԱՌԱՔԵԼՅԱՆ ԳԱԳԻԿԻ,Տվյալներ չկան,,,,,,,,,,,,,,
39,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105426,ԱՐՇԱԼՈՒՅՍ ՄԻՆԱՍՅԱՆ ԿԱՌԼԵՆԻ,Տվյալներ չկան,,,,,,,,,,,,,,
40,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105406,ՍԱՐԳԻՍ ՆԱԶԱՐՅԱՆ ՄԿՐՏԻՉԻ,Տվյալներ չկան,,,,,,,,,,,,,,
41,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105417,ՍԱՇԻԿ ԱՎԵՏԻՍՅԱՆ ԱՐԱՄԻ,Տվյալներ չկան,,,,,,,,,,,,,,
42,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105409,ՀՈՎՀԱՆՆԵՍ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՄՈՒՇԵՂԻ,Տվյալներ չկան,,,,,,,,,,,,,,
43,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105399,ԴԱՎԻԹ ԿՈՍՏԱՆԴՅԱՆ ՌՈԲԵՐՏԻ,Տվյալներ չկան,,,,,,,,,,,,,,
44,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105402,ԽՈՐԵՆ ՄԵՋԼՈՒՄՅԱՆ ԳԵՎՈՐԳԻ,Տվյալներ չկան,,,,,,,,,,,,,,
45,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105432,ԱՇՈՏ ՕՀԱՆՅԱՆ ԱՐՄԵՆԻ,Տվյալներ չկան,,,,,,,,,,,,,,
46,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105430,ԲԱԳՐԱՏ ԱԴԱՄՅԱՆ ՀՐԱՆՏԻ,Տվյալներ չկան,,,,,,,,,,,,,,
47,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105424,ՎԱՀԵ ՄԱՐՏԻՐՈՍՅԱՆ ՌԱՖԻԿԻ,Տվյալներ չկան,,,,,,,,,,,,,,
48,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105422,ԲՈՐՅԱ ՉԻԼԻՆԳԱՐՅԱՆ ԱԼԵՔՍԱՆԴՐԻ,Տվյալներ չկան,,,,,,,,,,,,,,
49,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105408,ՎԱՀԵ ԽԱՉԱՏՐՅԱՆ ԷՄԱՆՈՒԵԼԻ,Տվյալներ չկան,,,,,,,,,,,,,,
50,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105419,ԱՐՍԵՆ ԳԵՂԱՄՅԱՆ ԳՐԻԳՈՐԻ,Տվյալներ չկան,,,,,,,,,,,,,,
51,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105404,ԳԵՂԱՄ ՄԱՐԳԱՐՅԱՆ ՄԱՐՏԻՆԻ,Տվյալներ չկան,,,,,,,,,,,,,,
52,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105413,ՀԱՅԿ ՄԱՆԱՆԴՅԱՆ ՍԵՐԳՈՅԻ,Տվյալներ չկան,,,,,,,,,,,,,,
53,https://registry.cpcarmenia.am/declaration/?id=1_1_1_101748,ԳԱՐԵԳԻՆ ԲԵԳՈՅԱՆ ՎԼԱԴԻՄԻՐԻ,1.,ԳԱՐԵԳԻՆ ԲԵԳՈՅԱՆ ՎԼԱԴԻՄԻՐԻ,"Բնակարանը` բազմաբնակարան բնակելի շենքում ֆիզիկական անձանց բնակության համար նախատեսված, իրավունքների պետական գրանցումն իրականացնող լիազոր մարմնում առանձին ծածկագրով գրանցված և համարակալված տարածքը",Միանձնյա,,Պաշտպանված,Պաշտպանված,Պաշտպանված,Հայաստանի Հանրապետություն ԵՐԵՎԱՆ ԵՐԵՎԱՆ Պաշտպանված,Պաշտպանված,24/08/2022,Նվիրատվություն,֏ 0,Պաշտպանված,Ռիտա Կարապետյան Ռադիկի Պաշտպանված
54,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105421,ԱՐԹՈՒՐ ՍԱՐԳՍՅԱՆ ՄՈՒՐԱԴԻ,Տվյալներ չկան,,,,,,,,,,,,,,
55,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105407,ՍՄԲԱՏ ՄԽԻԹԱՐՅԱՆ ԱՏՈՄԻ,Տվյալներ չկան,,,,,,,,,,,,,,
56,https://registry.cpcarmenia.am/declaration/?id=1_1_2_105420,ՍՏԵՓԱՆ ՆԱԶԱՐՅԱՆ ԼԵՎՈՆԻ,Տվյալներ չկան,,,,,,,,,,,,,,
57,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105429,ԼԵՌՆԻԿ ՍՏԵՓԱՆՅԱՆ ՀԱՅԿԻ,Տվյալներ չկան,,,,,,,,,,,,,,
58,https://registry.cpcarmenia.am/declaration/?id=1_1_2_105415,ԳԵՐԱՍԻՄ ՄԿՐՏՉՅԱՆ ՅՈՒՐԻԿԻ,Տվյալներ չկան,,,,,,,,,,,,,,
59,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105405,ԱՐՄԵՆ ԱԴԱՄՅԱՆ ՓԱՇՈՅԻ,Տվյալներ չկան,,,,,,,,,,,,,,
60,https://registry.cpcarmenia.am/declaration/?id=1_1_1_102005,ՆԻԿՈԼԱՅ ԲԱՐՍԵՂՅԱՆ ԳԱԳԻԿԻ,Տվյալներ չկան,,,,,,,,,,,,,,
61,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105411,ԱՐՏԱՇԵՍ ՄԱԻԼՅԱՆ ՍԱՄՎԵԼԻ,Տվյալներ չկան,,,,,,,,,,,,,,
62,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105416,ԷԴԻԿ ՀԱԿՈԲՅԱՆ ԱՐՄԵՆԱԿԻ,Տվյալներ չկան,,,,,,,,,,,,,,
63,https://registry.cpcarmenia.am/declaration/?id=1_1_2_105428,ԳԱԳԻԿ ՄԱՐԿՈՍՅԱՆ ԳԱՐՈՒՆԻ,1.,ԳԱԳԻԿ ՄԱՐԿՈՍՅԱՆ ԳԱՐՈՒՆԻ,"Ավտոտնակը (տրանսպորտային միջոցների կայանման համար հողամասի վրա կառուցված առանձին շինությունը), ավտոհանգրվանը,ավտոկայանատեղին",Միանձնյա,,Պաշտպանված,Պաշտպանված,Պաշտպանված,Հայաստանի Հանրապետություն ԵՐԵՎԱՆ Արաբկիր Պաշտպանված,Պաշտպանված,08/06/2022,Ժառանգություն,֏ 0,Պաշտպանված,Գարուն Գուրգենի Մարկոսյան Պաշտպանված
64,https://registry.cpcarmenia.am/declaration/?id=1_1_2_105425,ԱՐԱՄ ՍԱՐԳՍՅԱՆ ՅՈՒՐԱՅԻ,Տվյալներ չկան,,,,,,,,,,,,,,
65,https://registry.cpcarmenia.am/declaration/?id=1_1_2_105418,ՀՈՎՀԱՆՆԵՍ ԵՆՈՔՅԱՆ ԿԵՆՍԱԲԵՐԻ,Տվյալներ չկան,,,,,,,,,,,,,,
66,https://registry.cpcarmenia.am/declaration/?id=1_1_2_105435,ԶԱՐՈՒՀԻ ՍԱՐԳՍՅԱՆ ԳԵՈՐԳԻԻ,Տվյալներ չկան,,,,,,,,,,,,,,
67,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105431,ՀՈՎԻԿ ՆԻԿՈՂՈՍՅԱՆ ԱՇՈՏԻ,Տվյալներ չկան,,,,,,,,,,,,,,
68,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105410,ԱՐԱՄ ՊՈՂՈՍՅԱՆ ՎԼԱԴԻՄԻՐԻ,Տվյալներ չկան,,,,,,,,,,,,,,
69,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105427,ՄՈՒՇԵՂ ԲԱԲԱՅԱՆ ԱՎԵՏԻՔԻ,Տվյալներ չկան,,,,,,,,,,,,,,
70,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105414,ՍԱՍՈՒՆ ԽԱՉԱՏՐՅԱՆ ՄՀԵՐԻ,Տվյալներ չկան,,,,,,,,,,,,,,
71,https://registry.cpcarmenia.am/declaration/?id=1_1_2_105398,ԱՐՏԱԿ ՊՈՂՈՍՅԱՆ ՄԿՐՏԻՉԻ,Տվյալներ չկան,,,,,,,,,,,,,,
72,https://registry.cpcarmenia.am/declaration/?id=1_1_2_105433,ԱՆԻ ՄԽԻԿՅԱՆ ՎԱՐԴԱՆԻ,Տվյալներ չկան,,,,,,,,,,,,,,
73,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105268,ԼԻԼԻԹ ԱԼԵՔՍԱՆՅԱՆ ԿԱՐԵՆԻ,Տվյալներ չկան,,,,,,,,,,,,,,
74,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105266,ՀԱՅԿՈՒՀԻ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՅԿԻ,Տվյալներ չկան,,,,,,,,,,,,,,
75,https://registry.cpcarmenia.am/declaration/?id=1_1_2_103431,ԱՐԵՎԻԿ ԹՈՐՈՍՅԱՆ ՇԻՐԱԿԻ,Տվյալներ չկան,,,,,,,,,,,,,,
76,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105259,ՆԱՐԵԿ ՀԱՄԲԱՐՁՈՒՄՅԱՆ ԳԱԳԻԿԻ,Տվյալներ չկան,,,,,,,,,,,,,,
77,https://registry.cpcarmenia.am/declaration/?id=1_1_2_105270,ՆԱՐԻՆԵ ՄԿՐՏՉՅԱՆ ՆՎԵՐԻ,Տվյալներ չկան,,,,,,,,,,,,,,
78,https://registry.cpcarmenia.am/declaration/?id=1_1_2_105260,ՆԱԻՐԻ ՄԻՐԶՈՅԱՆ ՀԱՄԼԵՏԻ,1.,ՆԱԻՐԻ ՄԻՐԶՈՅԱՆ ՀԱՄԼԵՏԻ,"Բնակարանը` բազմաբնակարան բնակելի շենքում ֆիզիկական անձանց բնակության համար նախատեսված, իրավունքների պետական գրանցումն իրականացնող լիազոր մարմնում առանձին ծածկագրով գրանցված և համարակալված տարածքը",Միանձնյա,,Պաշտպանված,Պաշտպանված,Պաշտպանված,Վրաստան Պաշտպանված,Պաշտպանված,29/11/2022,Գնում,"$ 68,000",Պաշտպանված,Նարեկ Գագիկի Համբարձումյան Պաշտպանված
79,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105265,ՄԱՐԻԱՄ ԳԱԼՍՏՅԱՆ ԿԱՐԵՆԻ,Տվյալներ չկան,,,,,,,,,,,,,,
80,https://registry.cpcarmenia.am/declaration/?id=1_1_2_105264,ԱՆՆԱ ՄԱՐՏԻՐՈՍՅԱՆ ՀԱՅԿԻ,Տվյալներ չկան,,,,,,,,,,,,,,
81,https://registry.cpcarmenia.am/declaration/?id=1_1_2_105267,ԾՈՎԻՆԱՐ ՄԱՐԳԱՐՅԱՆ ՀԵՆՐԻԿԻ,Տվյալներ չկան,,,,,,,,,,,,,,
