,id,name,NN ը/կ,"Հայտարարատու սեփականատիրոջ անունը, ազգանունը, հայրանունը",Տվյալ տարվա վերջում առկա տրանսպորտի տեսակը,"Մակնիշը, սերիան",Թողարկման տարին,Նույնականացման համարը,"Տրանսպորտի միջոցը ձեռք բերելու օրը, ամիսը, տարին",Տրանսպորտի միջոցը ձեռք բերելու եղանակը
10,https://registry.cpcarmenia.am/declaration/?id=1_1_1_101925,ԽԱՉԻԿ ՂԱԶԱՐՅԱՆ ԿԱՐԱՊԵՏԻ,Տվյալներ չկան,,,,,,,
11,https://registry.cpcarmenia.am/declaration/?id=1_1_1_102188,ՎԱՀԵ ԴՈԼՄԱԶՅԱՆ ԱՐՍԵՆԻ,1.,ՎԱՀԵ ԴՈԼՄԱԶՅԱՆ ԱՐՍԵՆԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,MERCEDES-BENZ Պաշտպանված,1997,Պաշտպանված,23/12/2019,Գնում
12,https://registry.cpcarmenia.am/declaration/?id=1_1_2_101859,ԳԵՂԵՑԻԿ ԲԱԼՅԱՆ ԱՐԱՅԻԿԻ,Տվյալներ չկան,,,,,,,
13,https://registry.cpcarmenia.am/declaration/?id=1_1_2_102544,ԱԼՎԻՆԱ ՄԱՐՏԻՐՈՍՅԱՆ ՍՄԲԱՏԻ,Տվյալներ չկան,,,,,,,
14,https://registry.cpcarmenia.am/declaration/?id=1_1_2_102837,ԼԻԼԻԹ ԲԱԴԱԼՅԱՆ ՅՈՒՐԻԻ,1.,ԼԻԼԻԹ ԲԱԴԱԼՅԱՆ ՅՈՒՐԻԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,HYUNDAI Պաշտպանված,2012,Պաշտպանված,01/03/2019,Գնում
15,https://registry.cpcarmenia.am/declaration/?id=1_1_1_102747,ԼԻԼԻ ԴՐՄԵՅԱՆ ՄԱՄԻԿՈՆԻ,Տվյալներ չկան,,,,,,,
16,https://registry.cpcarmenia.am/declaration/?id=1_1_2_101848,ԶԱՐՈՒՀԻ ՍՈՒՎԱՐՅԱՆ ԿՈՆՍՏԱՆՏԻՆԻ,Տվյալներ չկան,,,,,,,
17,https://registry.cpcarmenia.am/declaration/?id=1_1_1_102308,ԿԱՐԱՊԵՏ ԲԱԴԱԼՅԱՆ ՍԵՐՅՈԺԱՅԻ,1.,ԿԱՐԱՊԵՏ ԲԱԴԱԼՅԱՆ ՍԵՐՅՈԺԱՅԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,DODGE Պաշտպանված,1998,Պաշտպանված,14/11/2019,Գնում
18,https://registry.cpcarmenia.am/declaration/?id=1_1_2_102666,ՄԻԼԵՆԱ ՄԵՍՐՈՊՅԱՆ ՍԻՐԵԿԱՆԻ,1.,ՄԻԼԵՆԱ ՄԵՍՐՈՊՅԱՆ ՍԻՐԵԿԱՆԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,FORD Պաշտպանված,2013,Պաշտպանված,03/10/2022,Գնում
19,https://registry.cpcarmenia.am/declaration/?id=1_1_2_102653,ՀԱՅԿՈՒՇ ՀԱՐՈՅԱՆ ԱՐԱՄԻ,Տվյալներ չկան,,,,,,,
20,https://registry.cpcarmenia.am/declaration/?id=1_1_1_101984,ԱՐԱՄ ԳՐԻԳՈՐՅԱՆ ԳՐԻՇԱՅԻ,1.,ԱՐԱՄ ԳՐԻԳՈՐՅԱՆ ԳՐԻՇԱՅԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,NISSAN Պաշտպանված,2013,Պաշտպանված,14/11/2019,Գնում
21,https://registry.cpcarmenia.am/declaration/?id=1_1_1_102035,ՍԱՐԳԻՍ ԴԱԴՈՅԱՆ ՍԻՄՈՆԻ,Տվյալներ չկան,,,,,,,
22,https://registry.cpcarmenia.am/declaration/?id=1_1_2_102448,ՀԱՅԿՈՒՀԻ ՆԻԿՈԼԱՅԱՆ ՆՎԵՐԻ,Տվյալներ չկան,,,,,,,
23,https://registry.cpcarmenia.am/declaration/?id=1_1_1_102570,ՆԱՐԻՆԵ ԱՎԱԳՅԱՆ ԱՇՈՏԻ,1.,ՆԱՐԻՆԵ ԱՎԱԳՅԱՆ ԱՇՈՏԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,LEXUS Պաշտպանված,2018,Պաշտպանված,09/12/2021,Գնում
24,https://registry.cpcarmenia.am/declaration/?id=1_1_1_102237,ՎԱՐԴԳԵՍ ՍԱՐԳՍՅԱՆ ԱՐԱՅԻԿԻ,1.,ՎԱՐԴԳԵՍ ՍԱՐԳՍՅԱՆ ԱՐԱՅԻԿԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,VAZ Պաշտպանված,2005,Պաշտպանված,10/05/2005,Գնում
25,https://registry.cpcarmenia.am/declaration/?id=1_1_1_102953,ՄԵՐԻ ՄՈՍԻՆՅԱՆ ԱՂԱԲԵԿԻ,Տվյալներ չկան,,,,,,,
26,https://registry.cpcarmenia.am/declaration/?id=1_1_1_102128,ՍՈՒՐԵՆ ԽԱՉԱՏՐՅԱՆ ԵՐՎԱՆԴԻ,1.,ՍՈՒՐԵՆ ԽԱՉԱՏՐՅԱՆ ԵՐՎԱՆԴԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,HYUNDAI Պաշտպանված,2018,Պաշտպանված,11/11/2022,Գնում
27,https://registry.cpcarmenia.am/declaration/?id=1_1_1_101964,ԳԻՎԻ ՀՈՎՀԱՆՆԻՍՅԱՆ ՀԱՄԼԵՏԻ,Տվյալներ չկան,,,,,,,
28,https://registry.cpcarmenia.am/declaration/?id=1_1_1_102691,ԱՇԽԵՆ ՂԱՐՍԼՅԱՆ ՌՈՒԲԵՆԻ,Տվյալներ չկան,,,,,,,
29,https://registry.cpcarmenia.am/declaration/?id=1_1_1_101924,ՏԻԳՐԱՆ ԴԱՎԹՅԱՆ ՍԱՄՎԵԼԻ,1.,ՏԻԳՐԱՆ ԴԱՎԹՅԱՆ ՍԱՄՎԵԼԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,MAZDA Պաշտպանված,2016,Պաշտպանված,06/05/2022,Գնում
30,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105401,ԱՐՏԱԿ ԹԱԴԵՎՈՍՅԱՆ ՎԱՀՐԱՄԻ,1.,ԱՐՏԱԿ ԹԱԴԵՎՈՍՅԱՆ ՎԱՀՐԱՄԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,KIA Պաշտպանված,2008,Պաշտպանված,13/05/2019,Գնում
31,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105403,ՎՈԼՈԴՅԱ ՍԻՄՈՆՅԱՆ ՄՈՒՇԵՂԻ,1.,ՎՈԼՈԴՅԱ ՍԻՄՈՆՅԱՆ ՄՈՒՇԵՂԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,VAZ Պաշտպանված,2008,Պաշտպանված,05/10/2018,Գնում
32,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105412,ԱՐՄԱՆ ՄԱՆՈՒՉԱՐՅԱՆ ԱՊԵՏՆԱԿԻ,1.,ԱՐՄԱՆ ՄԱՆՈՒՉԱՐՅԱՆ ԱՊԵՏՆԱԿԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,MERCEDES-BENZ Պաշտպանված,1998,Պաշտպանված,07/03/2022,Գնում
33,https://registry.cpcarmenia.am/declaration/?id=1_1_2_105434,ՄԱՐԻՆԱ ՕՀԱՆՋԱՆՅԱՆ ԱՇՈՏԻ,Տվյալներ չկան,,,,,,,
34,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105436,ԼԻԱՆԱ ՍԱՆԹՐՈՍՅԱՆ ՏԻԳՐԱՆԻ,1.,ԼԻԱՆԱ ՍԱՆԹՐՈՍՅԱՆ ՏԻԳՐԱՆԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,TOYOTA Պաշտպանված,2012,Պաշտպանված,05/09/2020,Գնում
35,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105423,ԷԴԳԱՐ ՊՈՂՈՍՅԱՆ ՀԱՅԿԻ,Տվյալներ չկան,,,,,,,
36,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105400,ՍԵՐԳԵՅ ԱՌԱՔԵԼՅԱՆ ԳԱԳԻԿԻ,1.,ՍԵՐԳԵՅ ԱՌԱՔԵԼՅԱՆ ԳԱԳԻԿԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,TOYOTA Պաշտպանված,2006,Պաշտպանված,15/08/2022,Գնում
37,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105426,ԱՐՇԱԼՈՒՅՍ ՄԻՆԱՍՅԱՆ ԿԱՌԼԵՆԻ,1.,ԱՐՇԱԼՈՒՅՍ ՄԻՆԱՍՅԱՆ ԿԱՌԼԵՆԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,INFINITI Պաշտպանված,2012,Պաշտպանված,21/06/2019,Գնում
38,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105406,ՍԱՐԳԻՍ ՆԱԶԱՐՅԱՆ ՄԿՐՏԻՉԻ,1.,ՍԱՐԳԻՍ ՆԱԶԱՐՅԱՆ ՄԿՐՏԻՉԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,VAZ Պաշտպանված,2015,Պաշտպանված,01/11/2015,Գնում
39,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105417,ՍԱՇԻԿ ԱՎԵՏԻՍՅԱՆ ԱՐԱՄԻ,Տվյալներ չկան,,,,,,,
40,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105409,ՀՈՎՀԱՆՆԵՍ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՄՈՒՇԵՂԻ,1.,ՀՈՎՀԱՆՆԵՍ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՄՈՒՇԵՂԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,CHRYSLER Պաշտպանված,2014,Պաշտպանված,20/06/2020,Գնում
41,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105409,ՀՈՎՀԱՆՆԵՍ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՄՈՒՇԵՂԻ,2.,ՀՈՎՀԱՆՆԵՍ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՄՈՒՇԵՂԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,TOYOTA Պաշտպանված,2008,Պաշտպանված,27/02/2021,Գնում
42,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105399,ԴԱՎԻԹ ԿՈՍՏԱՆԴՅԱՆ ՌՈԲԵՐՏԻ,1.,ԴԱՎԻԹ ԿՈՍՏԱՆԴՅԱՆ ՌՈԲԵՐՏԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,MAZDA Պաշտպանված,2014,Պաշտպանված,24/06/2022,Գնում
43,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105402,ԽՈՐԵՆ ՄԵՋԼՈՒՄՅԱՆ ԳԵՎՈՐԳԻ,1.,ԽՈՐԵՆ ՄԵՋԼՈՒՄՅԱՆ ԳԵՎՈՐԳԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,OPEL Պաշտպանված,2001,Պաշտպանված,09/11/2021,Գնում
44,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105432,ԱՇՈՏ ՕՀԱՆՅԱՆ ԱՐՄԵՆԻ,Տվյալներ չկան,,,,,,,
45,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105430,ԲԱԳՐԱՏ ԱԴԱՄՅԱՆ ՀՐԱՆՏԻ,1.,ԲԱԳՐԱՏ ԱԴԱՄՅԱՆ ՀՐԱՆՏԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,HYUNDAI Պաշտպանված,2012,Պաշտպանված,13/11/2019,Գնում
46,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105424,ՎԱՀԵ ՄԱՐՏԻՐՈՍՅԱՆ ՌԱՖԻԿԻ,Տվյալներ չկան,,,,,,,
47,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105422,ԲՈՐՅԱ ՉԻԼԻՆԳԱՐՅԱՆ ԱԼԵՔՍԱՆԴՐԻ,1.,ԲՈՐՅԱ ՉԻԼԻՆԳԱՐՅԱՆ ԱԼԵՔՍԱՆԴՐԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,VOLKSWAGEN Պաշտպանված,1995,Պաշտպանված,25/03/2008,Գնում
48,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105422,ԲՈՐՅԱ ՉԻԼԻՆԳԱՐՅԱՆ ԱԼԵՔՍԱՆԴՐԻ,2.,ԲՈՐՅԱ ՉԻԼԻՆԳԱՐՅԱՆ ԱԼԵՔՍԱՆԴՐԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,INFINITI Պաշտպանված,2008,Պաշտպանված,27/07/2019,Գնում
49,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105408,ՎԱՀԵ ԽԱՉԱՏՐՅԱՆ ԷՄԱՆՈՒԵԼԻ,1.,ՎԱՀԵ ԽԱՉԱՏՐՅԱՆ ԷՄԱՆՈՒԵԼԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,TOYOTA Պաշտպանված,2016,Պաշտպանված,18/07/2018,Գնում
50,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105419,ԱՐՍԵՆ ԳԵՂԱՄՅԱՆ ԳՐԻԳՈՐԻ,1.,ԱՐՍԵՆ ԳԵՂԱՄՅԱՆ ԳՐԻԳՈՐԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,MAZDA Պաշտպանված,2011,Պաշտպանված,09/08/2019,Գնում
51,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105404,ԳԵՂԱՄ ՄԱՐԳԱՐՅԱՆ ՄԱՐՏԻՆԻ,1.,ԳԵՂԱՄ ՄԱՐԳԱՐՅԱՆ ՄԱՐՏԻՆԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,MERCEDES-BENZ Պաշտպանված,1997,Պաշտպանված,17/04/2017,Գնում
52,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105413,ՀԱՅԿ ՄԱՆԱՆԴՅԱՆ ՍԵՐԳՈՅԻ,1.,ՀԱՅԿ ՄԱՆԱՆԴՅԱՆ ՍԵՐԳՈՅԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,MERCEDES-BENZ Պաշտպանված,2002,Պաշտպանված,14/04/2016,Գնում
53,https://registry.cpcarmenia.am/declaration/?id=1_1_1_101748,ԳԱՐԵԳԻՆ ԲԵԳՈՅԱՆ ՎԼԱԴԻՄԻՐԻ,1.,ԳԱՐԵԳԻՆ ԲԵԳՈՅԱՆ ՎԼԱԴԻՄԻՐԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,TOYOTA Պաշտպանված,2018,Պաշտպանված,13/08/2021,Գնում
54,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105421,ԱՐԹՈՒՐ ՍԱՐԳՍՅԱՆ ՄՈՒՐԱԴԻ,Տվյալներ չկան,,,,,,,
55,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105407,ՍՄԲԱՏ ՄԽԻԹԱՐՅԱՆ ԱՏՈՄԻ,Տվյալներ չկան,,,,,,,
56,https://registry.cpcarmenia.am/declaration/?id=1_1_2_105420,ՍՏԵՓԱՆ ՆԱԶԱՐՅԱՆ ԼԵՎՈՆԻ,Տվյալներ չկան,,,,,,,
57,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105429,ԼԵՌՆԻԿ ՍՏԵՓԱՆՅԱՆ ՀԱՅԿԻ,1.,ԼԵՌՆԻԿ ՍՏԵՓԱՆՅԱՆ ՀԱՅԿԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,TOYOTA Պաշտպանված,2014,Պաշտպանված,19/04/2021,Գնում
58,https://registry.cpcarmenia.am/declaration/?id=1_1_2_105415,ԳԵՐԱՍԻՄ ՄԿՐՏՉՅԱՆ ՅՈՒՐԻԿԻ,Տվյալներ չկան,,,,,,,
59,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105405,ԱՐՄԵՆ ԱԴԱՄՅԱՆ ՓԱՇՈՅԻ,1.,ԱՐՄԵՆ ԱԴԱՄՅԱՆ ՓԱՇՈՅԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,NISSAN Պաշտպանված,2006,Պաշտպանված,16/07/2019,Գնում
60,https://registry.cpcarmenia.am/declaration/?id=1_1_1_102005,ՆԻԿՈԼԱՅ ԲԱՐՍԵՂՅԱՆ ԳԱԳԻԿԻ,1.,ՆԻԿՈԼԱՅ ԲԱՐՍԵՂՅԱՆ ԳԱԳԻԿԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,TOYOTA Պաշտպանված,2017,Պաշտպանված,03/10/2019,Գնում
61,https://registry.cpcarmenia.am/declaration/?id=1_1_1_102005,ՆԻԿՈԼԱՅ ԲԱՐՍԵՂՅԱՆ ԳԱԳԻԿԻ,2.,ՆԻԿՈԼԱՅ ԲԱՐՍԵՂՅԱՆ ԳԱԳԻԿԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,VOLKSWAGEN Պաշտպանված,2008,Պաշտպանված,23/05/2011,Գնում
62,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105411,ԱՐՏԱՇԵՍ ՄԱԻԼՅԱՆ ՍԱՄՎԵԼԻ,Տվյալներ չկան,,,,,,,
63,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105416,ԷԴԻԿ ՀԱԿՈԲՅԱՆ ԱՐՄԵՆԱԿԻ,Տվյալներ չկան,,,,,,,
64,https://registry.cpcarmenia.am/declaration/?id=1_1_2_105428,ԳԱԳԻԿ ՄԱՐԿՈՍՅԱՆ ԳԱՐՈՒՆԻ,1.,ԳԱԳԻԿ ՄԱՐԿՈՍՅԱՆ ԳԱՐՈՒՆԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,TOYOTA Պաշտպանված,2003,Պաշտպանված,27/11/2007,Գնում
65,https://registry.cpcarmenia.am/declaration/?id=1_1_2_105425,ԱՐԱՄ ՍԱՐԳՍՅԱՆ ՅՈՒՐԱՅԻ,1.,ԱՐԱՄ ՍԱՐԳՍՅԱՆ ՅՈՒՐԱՅԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,MERCEDES-BENZ Պաշտպանված,2012,Պաշտպանված,17/01/2017,Գնում
66,https://registry.cpcarmenia.am/declaration/?id=1_1_2_105418,ՀՈՎՀԱՆՆԵՍ ԵՆՈՔՅԱՆ ԿԵՆՍԱԲԵՐԻ,Տվյալներ չկան,,,,,,,
67,https://registry.cpcarmenia.am/declaration/?id=1_1_2_105435,ԶԱՐՈՒՀԻ ՍԱՐԳՍՅԱՆ ԳԵՈՐԳԻԻ,1.,ԶԱՐՈՒՀԻ ՍԱՐԳՍՅԱՆ ԳԵՈՐԳԻԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,TOYOTA Պաշտպանված,2015,Պաշտպանված,29/07/2021,Գնում
68,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105431,ՀՈՎԻԿ ՆԻԿՈՂՈՍՅԱՆ ԱՇՈՏԻ,1.,ՀՈՎԻԿ ՆԻԿՈՂՈՍՅԱՆ ԱՇՈՏԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,OPEL Պաշտպանված,1999,Պաշտպանված,25/06/2014,Գնում
69,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105431,ՀՈՎԻԿ ՆԻԿՈՂՈՍՅԱՆ ԱՇՈՏԻ,2.,ՀՈՎԻԿ ՆԻԿՈՂՈՍՅԱՆ ԱՇՈՏԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,OPEL Պաշտպանված,2003,Պաշտպանված,30/09/2020,Գնում
70,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105410,ԱՐԱՄ ՊՈՂՈՍՅԱՆ ՎԼԱԴԻՄԻՐԻ,1.,ԱՐԱՄ ՊՈՂՈՍՅԱՆ ՎԼԱԴԻՄԻՐԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,MERCEDES-BENZ Պաշտպանված,2007,Պաշտպանված,03/04/2018,Գնում
71,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105427,ՄՈՒՇԵՂ ԲԱԲԱՅԱՆ ԱՎԵՏԻՔԻ,Տվյալներ չկան,,,,,,,
72,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105414,ՍԱՍՈՒՆ ԽԱՉԱՏՐՅԱՆ ՄՀԵՐԻ,Տվյալներ չկան,,,,,,,
73,https://registry.cpcarmenia.am/declaration/?id=1_1_2_105398,ԱՐՏԱԿ ՊՈՂՈՍՅԱՆ ՄԿՐՏԻՉԻ,1.,ԱՐՏԱԿ ՊՈՂՈՍՅԱՆ ՄԿՐՏԻՉԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,LEXUS Պաշտպանված,2020,Պաշտպանված,26/08/2021,Գնում
74,https://registry.cpcarmenia.am/declaration/?id=1_1_2_105433,ԱՆԻ ՄԽԻԿՅԱՆ ՎԱՐԴԱՆԻ,Տվյալներ չկան,,,,,,,
75,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105268,ԼԻԼԻԹ ԱԼԵՔՍԱՆՅԱՆ ԿԱՐԵՆԻ,Տվյալներ չկան,,,,,,,
76,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105266,ՀԱՅԿՈՒՀԻ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՅԿԻ,Տվյալներ չկան,,,,,,,
77,https://registry.cpcarmenia.am/declaration/?id=1_1_2_103431,ԱՐԵՎԻԿ ԹՈՐՈՍՅԱՆ ՇԻՐԱԿԻ,Տվյալներ չկան,,,,,,,
78,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105259,ՆԱՐԵԿ ՀԱՄԲԱՐՁՈՒՄՅԱՆ ԳԱԳԻԿԻ,1.,ՆԱՐԵԿ ՀԱՄԲԱՐՁՈՒՄՅԱՆ ԳԱԳԻԿԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,OPEL Պաշտպանված,2007,Պաշտպանված,26/12/2018,Գնում
79,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105259,ՆԱՐԵԿ ՀԱՄԲԱՐՁՈՒՄՅԱՆ ԳԱԳԻԿԻ,2.,ՆԱՐԵԿ ՀԱՄԲԱՐՁՈՒՄՅԱՆ ԳԱԳԻԿԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,PORSCHE Պաշտպանված,2014,Պաշտպանված,31/10/2019,Գնում
80,https://registry.cpcarmenia.am/declaration/?id=1_1_2_105270,ՆԱՐԻՆԵ ՄԿՐՏՉՅԱՆ ՆՎԵՐԻ,1.,ՆԱՐԻՆԵ ՄԿՐՏՉՅԱՆ ՆՎԵՐԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,AUDI Պաշտպանված,2010,Պաշտպանված,28/12/2022,Գնում
81,https://registry.cpcarmenia.am/declaration/?id=1_1_2_105260,ՆԱԻՐԻ ՄԻՐԶՈՅԱՆ ՀԱՄԼԵՏԻ,Տվյալներ չկան,,,,,,,
82,https://registry.cpcarmenia.am/declaration/?id=1_1_1_105265,ՄԱՐԻԱՄ ԳԱԼՍՏՅԱՆ ԿԱՐԵՆԻ,Տվյալներ չկան,,,,,,,
83,https://registry.cpcarmenia.am/declaration/?id=1_1_2_105264,ԱՆՆԱ ՄԱՐՏԻՐՈՍՅԱՆ ՀԱՅԿԻ,1.,ԱՆՆԱ ՄԱՐՏԻՐՈՍՅԱՆ ՀԱՅԿԻ,Մարդատար ավտոմոբիլային տրանսպորտի միջոց,SUZUKI Պաշտպանված,2008,Պաշտպանված,17/08/2019,Գնում
84,https://registry.cpcarmenia.am/declaration/?id=1_1_2_105267,ԾՈՎԻՆԱՐ ՄԱՐԳԱՐՅԱՆ ՀԵՆՐԻԿԻ,Տվյալներ չկան,,,,,,,
