,name,data-id,link,declaration-type,institution,position
12,ՆԱԻՐԱ ԱՐՏԱՇԵՍՅԱՆ ՄԿՐՏԻՉԻ,1_1_1_104049,https://registry.cpcarmenia.am/declaration/?id=1_1_1_104049,"ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ` 2022 ԹՎԱԿԱՆԻ ԳՈՒՅՔԻ, ԵԿԱՄՈՒՏՆԵՐԻ, ԾԱԽՍԵՐԻ ԵՎ ՇԱՀԵՐԻ ՀԱՅՏԱՐԱՐԱԳԻՐ",Դատախազություն,Գլխավոր դատախազության ապօրինի ծագում ունեցող գույքի բռնագանձման գործերով վարչության դատախազ
13,ՋԻՎԱՆ ԿԻՐԱԿՈՍՅԱՆ ԲԵՆԻԿԻ,1_2_2_103608,https://registry.cpcarmenia.am/declaration/?id=1_2_2_103608,"ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ ԸՆՏԱՆԻՔԻ ԱՆԴԱՄԻ` 2022 ԹՎԱԿԱՆԻ ԳՈՒՅՔԻ, ԵԿԱՄՈՒՏՆԵՐԻ ԵՎ ԾԱԽՍԵՐԻ ՀԱՅՏԱՐԱՐԱԳԻՐ",Դատախազություն,Գլխավոր դատախազության ապօրինի ծագում ունեցող գույքի բռնագանձման գործերով վարչության դատախազ
14,ՄԻՀՐԱՆ ԲՈՒԼՂԱԴԱՐՅԱՆ ԱՐԹՈՒՐԻ,1_1_1_103759,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103759,"ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ` 2022 ԹՎԱԿԱՆԻ ԳՈՒՅՔԻ, ԵԿԱՄՈՒՏՆԵՐԻ, ԾԱԽՍԵՐԻ ԵՎ ՇԱՀԵՐԻ ՀԱՅՏԱՐԱՐԱԳԻՐ",Դատախազություն,Գլխավոր դատախազության ապօրինի ծագում ունեցող գույքի բռնագանձման գործերով վարչության դատախազ
15,ՆԵԼԼԻ ՏԵՐ-ԹՈՐՈՍՅԱՆ ՏԻԳՐԱՆԻ,1_1_1_103950,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103950,"ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ` 2022 ԹՎԱԿԱՆԻ ԳՈՒՅՔԻ, ԵԿԱՄՈՒՏՆԵՐԻ, ԾԱԽՍԵՐԻ ԵՎ ՇԱՀԵՐԻ ՀԱՅՏԱՐԱՐԱԳԻՐ",Դատախազություն,Գլխավոր դատախազության ապօրինի ծագում ունեցող գույքի բռնագանձման գործերով վարչության դատախազ
16,ՏԻԳՐԱՆ ՏԵՐ-ԹՈՐՈՍՅԱՆ ՍՈՒՐԵՆԻ,1_2_2_136121,https://registry.cpcarmenia.am/declaration/?id=1_2_2_136121,"ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ ԸՆՏԱՆԻՔԻ ԱՆԴԱՄԻ` 2022 ԹՎԱԿԱՆԻ ԳՈՒՅՔԻ, ԵԿԱՄՈՒՏՆԵՐԻ ԵՎ ԾԱԽՍԵՐԻ ՀԱՅՏԱՐԱՐԱԳԻՐ",Դատախազություն,Գլխավոր դատախազության ապօրինի ծագում ունեցող գույքի բռնագանձման գործերով վարչության դատախազ
17,ՏԻԳՐԱՆ ԵՆՈՔՅԱՆ ԱՂՎԱՆԻ,1_1_1_103834,https://registry.cpcarmenia.am/declaration/?id=1_1_1_103834,"ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ` 2022 ԹՎԱԿԱՆԻ ԳՈՒՅՔԻ, ԵԿԱՄՈՒՏՆԵՐԻ, ԾԱԽՍԵՐԻ ԵՎ ՇԱՀԵՐԻ ՀԱՅՏԱՐԱՐԱԳԻՐ",Դատախազություն,Գլխավոր դատախազության ապօրինի ծագում ունեցող գույքի բռնագանձման գործերով վարչության պետի տեղակալ
18,ՄԱՐԱ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ԱԼՄԱՐՏԻ,1_2_2_136053,https://registry.cpcarmenia.am/declaration/?id=1_2_2_136053,"ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ ԸՆՏԱՆԻՔԻ ԱՆԴԱՄԻ` 2022 ԹՎԱԿԱՆԻ ԳՈՒՅՔԻ, ԵԿԱՄՈՒՏՆԵՐԻ ԵՎ ԾԱԽՍԵՐԻ ՀԱՅՏԱՐԱՐԱԳԻՐ",Դատախազություն,Գլխավոր դատախազության ապօրինի ծագում ունեցող գույքի բռնագանձման գործերով վարչության դատախազ
19,ՋԻՎԱՆ ԿԻՐԱԿՈՍՅԱՆ ԲԵՆԻԿԻ,2_2_2_127113,https://registry.cpcarmenia.am/declaration/?id=2_2_2_127113,"ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ ԸՆՏԱՆԻՔԻ ԱՆԴԱՄԻ` ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ ՊԱՇՏՈՆԵԱԿԱՆ ՊԱՐՏԱԿԱՆՈՒԹՅՈՒՆՆԵՐՆ ՍՏԱՆՁՆԵԼՈՒ ԿԱՄ ԴԱԴԱՐԵՑՆԵԼՈՒ ՕՐՎԱ ԴՐՈՒԹՅԱՄԲ ԱՌԿԱ ԳՈՒՅՔԻ, ԵԿԱՄՈՒՏՆԵՐԻ ԵՎ ԾԱԽՍԵՐԻ ՀԱՅՏԱՐԱՐԱԳԻՐ",Դատախազություն,ՀՀ գլխավոր դատախազության ապօրինի ծագում ունեցող գույքի բռնագանձման գործերով վարչության դատախազ
20,ՆԱԻՐԱ ԱՐՏԱՇԵՍՅԱՆ ՄԿՐՏԻՉԻ,2_1_1_127017,https://registry.cpcarmenia.am/declaration/?id=2_1_1_127017,"ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ ՊԱՇՏՈՆԵԱԿԱՆ ՊԱՐՏԱԿԱՆՈՒԹՅՈՒՆՆԵՐՆ ՍՏԱՆՁՆԵԼՈՒ ԿԱՄ ԴԱԴԱՐԵՑՆԵԼՈՒ ՕՐՎԱ ԴՐՈՒԹՅԱՄԲ ԱՌԿԱ ԳՈՒՅՔԻ, ԵԿԱՄՈՒՏՆԵՐԻ, ԾԱԽՍԵՐԻ ԵՎ ՇԱՀԵՐԻ ՀԱՅՏԱՐԱՐԱԳԻՐ",Դատախազություն,ՀՀ գլխավոր դատախազության ապօրինի ծագում ունեցող գույքի բռնագանձման գործերով վարչության դատախազ
21,ԷԼԵՆ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՐՈՒԹՅՈՒՆԻ,2_2_2_126515,https://registry.cpcarmenia.am/declaration/?id=2_2_2_126515,"ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ ԸՆՏԱՆԻՔԻ ԱՆԴԱՄԻ` ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ ՊԱՇՏՈՆԵԱԿԱՆ ՊԱՐՏԱԿԱՆՈՒԹՅՈՒՆՆԵՐՆ ՍՏԱՆՁՆԵԼՈՒ ԿԱՄ ԴԱԴԱՐԵՑՆԵԼՈՒ ՕՐՎԱ ԴՐՈՒԹՅԱՄԲ ԱՌԿԱ ԳՈՒՅՔԻ, ԵԿԱՄՈՒՏՆԵՐԻ ԵՎ ԾԱԽՍԵՐԻ ՀԱՅՏԱՐԱՐԱԳԻՐ",Դատախազություն,ՀՀ գլխավոր դատախազության ապօրինի ծագում ունեցող գույքի բռնագանձման գործերով վարչության դատախազ
22,ՄԱՐԱ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ԱԼՄԱՐՏԻ,2_2_2_126514,https://registry.cpcarmenia.am/declaration/?id=2_2_2_126514,"ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ ԸՆՏԱՆԻՔԻ ԱՆԴԱՄԻ` ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ ՊԱՇՏՈՆԵԱԿԱՆ ՊԱՐՏԱԿԱՆՈՒԹՅՈՒՆՆԵՐՆ ՍՏԱՆՁՆԵԼՈՒ ԿԱՄ ԴԱԴԱՐԵՑՆԵԼՈՒ ՕՐՎԱ ԴՐՈՒԹՅԱՄԲ ԱՌԿԱ ԳՈՒՅՔԻ, ԵԿԱՄՈՒՏՆԵՐԻ ԵՎ ԾԱԽՍԵՐԻ ՀԱՅՏԱՐԱՐԱԳԻՐ",Դատախազություն,ՀՀ գլխավոր դատախազության ապօրինի ծագում ունեցող գույքի բռնագանձման գործերով վարչության դատախազ
23,ՀԱՐՈՒԹՅՈՒՆ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՄԼԵՏԻ,2_2_2_126474,https://registry.cpcarmenia.am/declaration/?id=2_2_2_126474,"ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ ԸՆՏԱՆԻՔԻ ԱՆԴԱՄԻ` ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ ՊԱՇՏՈՆԵԱԿԱՆ ՊԱՐՏԱԿԱՆՈՒԹՅՈՒՆՆԵՐՆ ՍՏԱՆՁՆԵԼՈՒ ԿԱՄ ԴԱԴԱՐԵՑՆԵԼՈՒ ՕՐՎԱ ԴՐՈՒԹՅԱՄԲ ԱՌԿԱ ԳՈՒՅՔԻ, ԵԿԱՄՈՒՏՆԵՐԻ ԵՎ ԾԱԽՍԵՐԻ ՀԱՅՏԱՐԱՐԱԳԻՐ",Դատախազություն,ՀՀ գլխավոր դատախազության ապօրինի ծագում ունեցող գույքի բռնագանձման գործերով վարչության դատախազ
24,ՀԱՄԼԵՏ ՀԱՐՈՒԹՅՈՒՆՅԱՆ ՀԱՐՈՒԹՅՈՒՆԻ,2_1_1_126449,https://registry.cpcarmenia.am/declaration/?id=2_1_1_126449,"ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ ՊԱՇՏՈՆԵԱԿԱՆ ՊԱՐՏԱԿԱՆՈՒԹՅՈՒՆՆԵՐՆ ՍՏԱՆՁՆԵԼՈՒ ԿԱՄ ԴԱԴԱՐԵՑՆԵԼՈՒ ՕՐՎԱ ԴՐՈՒԹՅԱՄԲ ԱՌԿԱ ԳՈՒՅՔԻ, ԵԿԱՄՈՒՏՆԵՐԻ, ԾԱԽՍԵՐԻ ԵՎ ՇԱՀԵՐԻ ՀԱՅՏԱՐԱՐԱԳԻՐ",Դատախազություն,ՀՀ գլխավոր դատախազության ապօրինի ծագում ունեցող գույքի բռնագանձման գործերով վարչության դատախազ
25,ԱՆՆԱ ԱԲՈՎՅԱՆ ՍԵՐՅՈԺԱՅԻ,2_2_2_122031,https://registry.cpcarmenia.am/declaration/?id=2_2_2_122031,"ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ ԸՆՏԱՆԻՔԻ ԱՆԴԱՄԻ` ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ ՊԱՇՏՈՆԵԱԿԱՆ ՊԱՐՏԱԿԱՆՈՒԹՅՈՒՆՆԵՐՆ ՍՏԱՆՁՆԵԼՈՒ ԿԱՄ ԴԱԴԱՐԵՑՆԵԼՈՒ ՕՐՎԱ ԴՐՈՒԹՅԱՄԲ ԱՌԿԱ ԳՈՒՅՔԻ, ԵԿԱՄՈՒՏՆԵՐԻ ԵՎ ԾԱԽՍԵՐԻ ՀԱՅՏԱՐԱՐԱԳԻՐ",Դատախազություն,ՀՀ գլխավոր դատախազի՝ ապօրինի ծագում ունեցող գույքի բռնագանձմանն ուղղված գործառույթների ոլորտը համակարգող տեղակալի օգանական
26,ՀԱԿՈԲ ԽՈՒԴԱՎԵՐԴՅԱՆ ՌՈԲԵՐՏԻ,2_2_2_122036,https://registry.cpcarmenia.am/declaration/?id=2_2_2_122036,"ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ ԸՆՏԱՆԻՔԻ ԱՆԴԱՄԻ` ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ ՊԱՇՏՈՆԵԱԿԱՆ ՊԱՐՏԱԿԱՆՈՒԹՅՈՒՆՆԵՐՆ ՍՏԱՆՁՆԵԼՈՒ ԿԱՄ ԴԱԴԱՐԵՑՆԵԼՈՒ ՕՐՎԱ ԴՐՈՒԹՅԱՄԲ ԱՌԿԱ ԳՈՒՅՔԻ, ԵԿԱՄՈՒՏՆԵՐԻ ԵՎ ԾԱԽՍԵՐԻ ՀԱՅՏԱՐԱՐԱԳԻՐ",Դատախազություն,ՀՀ գլխավոր դատախազի՝ ապօրինի ծագում ունեցող գույքի բռնագանձմանն ուղղված գործառույթների ոլորտը համակարգող տեղակալի օգանական
27,ՌՈԲԵՐՏ ԽՈՒԴԱՎԵՐԴՅԱՆ ՀԱԿՈԲԻ,2_2_2_122034,https://registry.cpcarmenia.am/declaration/?id=2_2_2_122034,"ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ ԸՆՏԱՆԻՔԻ ԱՆԴԱՄԻ` ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ ՊԱՇՏՈՆԵԱԿԱՆ ՊԱՐՏԱԿԱՆՈՒԹՅՈՒՆՆԵՐՆ ՍՏԱՆՁՆԵԼՈՒ ԿԱՄ ԴԱԴԱՐԵՑՆԵԼՈՒ ՕՐՎԱ ԴՐՈՒԹՅԱՄԲ ԱՌԿԱ ԳՈՒՅՔԻ, ԵԿԱՄՈՒՏՆԵՐԻ ԵՎ ԾԱԽՍԵՐԻ ՀԱՅՏԱՐԱՐԱԳԻՐ",Դատախազություն,ՀՀ գլխավոր դատախազի՝ ապօրինի ծագում ունեցող գույքի բռնագանձմանն ուղղված գործառույթների ոլորտը համակարգող տեղակալի օգանական
28,ՎԻՐԱԲ ՀԱՄԲԱՐՁՈՒՄՅԱՆ ՌՈՒԲԻԿԻ,3_1_2_122119,https://registry.cpcarmenia.am/declaration/?id=3_1_2_122119,"ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ ՊԱՇՏՈՆԵԱԿԱՆ ՊԱՐՏԱԿԱՆՈՒԹՅՈՒՆՆԵՐՆ ՍՏԱՆՁՆԵԼՈՒ ԿԱՄ ԴԱԴԱՐԵՑՆԵԼՈՒ ՕՐՎԱ ԴՐՈՒԹՅԱՄԲ ԱՌԿԱ ԳՈՒՅՔԻ, ԵԿԱՄՈՒՏՆԵՐԻ ԵՎ ԾԱԽՍԵՐԻ ՀԱՅՏԱՐԱՐԱԳԻՐ",Դատախազություն,ՀՀ գլխավոր դատախազի՝ ապօրինի ծագում ունեցող գույքի բռնագանձմանն ուղղված գործառույթների ոլորտը համակարգող տեղակալի օգանական
29,ՌՈՒԶԱՆՆԱ ԽՈՒԴԱՎԵՐԴՅԱՆ ՌՈԲԵՐՏԻ,2_1_2_121834,https://registry.cpcarmenia.am/declaration/?id=2_1_2_121834,"ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ ՊԱՇՏՈՆԵԱԿԱՆ ՊԱՐՏԱԿԱՆՈՒԹՅՈՒՆՆԵՐՆ ՍՏԱՆՁՆԵԼՈՒ ԿԱՄ ԴԱԴԱՐԵՑՆԵԼՈՒ ՕՐՎԱ ԴՐՈՒԹՅԱՄԲ ԱՌԿԱ ԳՈՒՅՔԻ, ԵԿԱՄՈՒՏՆԵՐԻ ԵՎ ԾԱԽՍԵՐԻ ՀԱՅՏԱՐԱՐԱԳԻՐ",Դատախազություն,ՀՀ գլխավոր դատախազի՝ ապօրինի ծագում ունեցող գույքի բռնագանձմանն ուղղված գործառույթների ոլորտը համակարգող տեղակալի օգանական
30,ՄԱՐԻԱՄ ԹՈՐՈՍՅԱՆ ԱՐՄԵՆԻ,3_2_2_122125,https://registry.cpcarmenia.am/declaration/?id=3_2_2_122125,"ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ ԸՆՏԱՆԻՔԻ ԱՆԴԱՄԻ` ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ ՊԱՇՏՈՆԵԱԿԱՆ ՊԱՐՏԱԿԱՆՈՒԹՅՈՒՆՆԵՐՆ ՍՏԱՆՁՆԵԼՈՒ ԿԱՄ ԴԱԴԱՐԵՑՆԵԼՈՒ ՕՐՎԱ ԴՐՈՒԹՅԱՄԲ ԱՌԿԱ ԳՈՒՅՔԻ, ԵԿԱՄՈՒՏՆԵՐԻ ԵՎ ԾԱԽՍԵՐԻ ՀԱՅՏԱՐԱՐԱԳԻՐ",Դատախազություն,ՀՀ գլխավոր դատախազի՝ ապօրինի ծագում ունեցող գույքի բռնագանձմանն ուղղված գործառույթների ոլորտը համակարգող տեղակալի օգանական
31,ՄԵՐՈՒԺԱՆ ՀԱՄԲԱՐՁՈՒՄՅԱՆ ՌՈՒԲԻԿԻ,3_2_2_122124,https://registry.cpcarmenia.am/declaration/?id=3_2_2_122124,"ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ ԸՆՏԱՆԻՔԻ ԱՆԴԱՄԻ` ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ ՊԱՇՏՈՆԵԱԿԱՆ ՊԱՐՏԱԿԱՆՈՒԹՅՈՒՆՆԵՐՆ ՍՏԱՆՁՆԵԼՈՒ ԿԱՄ ԴԱԴԱՐԵՑՆԵԼՈՒ ՕՐՎԱ ԴՐՈՒԹՅԱՄԲ ԱՌԿԱ ԳՈՒՅՔԻ, ԵԿԱՄՈՒՏՆԵՐԻ ԵՎ ԾԱԽՍԵՐԻ ՀԱՅՏԱՐԱՐԱԳԻՐ",Դատախազություն,ՀՀ գլխավոր դատախազի՝ ապօրինի ծագում ունեցող գույքի բռնագանձմանն ուղղված գործառույթների ոլորտը համակարգող տեղակալի օգանական
32,ԼԵՆԱ ԽԱՉԱՏՐՅԱՆ ՎՐԵԺԻ,3_2_2_122123,https://registry.cpcarmenia.am/declaration/?id=3_2_2_122123,"ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ ԸՆՏԱՆԻՔԻ ԱՆԴԱՄԻ` ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ ՊԱՇՏՈՆԵԱԿԱՆ ՊԱՐՏԱԿԱՆՈՒԹՅՈՒՆՆԵՐՆ ՍՏԱՆՁՆԵԼՈՒ ԿԱՄ ԴԱԴԱՐԵՑՆԵԼՈՒ ՕՐՎԱ ԴՐՈՒԹՅԱՄԲ ԱՌԿԱ ԳՈՒՅՔԻ, ԵԿԱՄՈՒՏՆԵՐԻ ԵՎ ԾԱԽՍԵՐԻ ՀԱՅՏԱՐԱՐԱԳԻՐ",Դատախազություն,ՀՀ գլխավոր դատախազի՝ ապօրինի ծագում ունեցող գույքի բռնագանձմանն ուղղված գործառույթների ոլորտը համակարգող տեղակալի օգանական
33,ՌՈՒԲԻԿ ՀԱՄԲԱՐՁՈՒՄՅԱՆ ԳԱԼՈՒՍՏԻ,3_2_2_122122,https://registry.cpcarmenia.am/declaration/?id=3_2_2_122122,"ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ ԸՆՏԱՆԻՔԻ ԱՆԴԱՄԻ` ՊԱՇՏՈՆԱՏԱՐ ԱՆՁԻ ՊԱՇՏՈՆԵԱԿԱՆ ՊԱՐՏԱԿԱՆՈՒԹՅՈՒՆՆԵՐՆ ՍՏԱՆՁՆԵԼՈՒ ԿԱՄ ԴԱԴԱՐԵՑՆԵԼՈՒ ՕՐՎԱ ԴՐՈՒԹՅԱՄԲ ԱՌԿԱ ԳՈՒՅՔԻ, ԵԿԱՄՈՒՏՆԵՐԻ ԵՎ ԾԱԽՍԵՐԻ ՀԱՅՏԱՐԱՐԱԳԻՐ",Դատախազություն,ՀՀ գլխավոր դատախազի՝ ապօրինի ծագում ունեցող գույքի բռնագանձմանն ուղղված գործառույթների ոլորտը համակարգող տեղակալի օգանական
